Class Name (str),Class ID (int),Coarse Class Name (str),Price,Coarse Class ID (int),Iconic Image Path (str),Product Description Path (str)
Bravo-Apple-Juice,28,Juice,7.30 ,19,/iconic-images-and-descriptions/Packages/Juice/Bravo-Apple-Juice/Bravo-Apple-Juice_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/Bravo-Apple-Juice/Bravo-Apple-Juice_Description.txt
Bravo-Orange-Juice,29,Juice,4.30 ,19,/iconic-images-and-descriptions/Packages/Juice/Bravo-Orange-Juice/Bravo-Orange-Juice_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/Bravo-Orange-Juice/Bravo-Orange-Juice_Description.txt
God-Morgon-Apple-Juice,30,Juice,1.93 ,19,/iconic-images-and-descriptions/Packages/Juice/God-Morgon-Apple-Juice/God-Morgon-Apple-Juice_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/God-Morgon-Apple-Juice/God-Morgon-Apple-Juice_Description.txt
God-Morgon-Orange-Juice,31,Juice,5.28 ,19,/iconic-images-and-descriptions/Packages/Juice/God-Morgon-Orange-Juice/God-Morgon-Orange-Juice_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/God-Morgon-Orange-Juice/God-Morgon-Orange-Juice_Description.txt
God-Morgon-Orange-Red-Grapefruit-Juice,32,Juice,1.37 ,19,/iconic-images-and-descriptions/Packages/Juice/God-Morgon-Orange-Red-Grapefruit-Juice/God-Morgon-Orange-Red-Grapefruit-Juice_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/God-Morgon-Orange-Red-Grapefruit-Juice/God-Morgon-Orange-Red-Grapefruit-Juice_Description.txt
God-Morgon-Red-Grapefruit-Juice,33,Juice,1.33 ,19,/iconic-images-and-descriptions/Packages/Juice/God-Morgon-Red-Grapefruit-Juice/God-Morgon-Red-Grapefruit-Juice_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/God-Morgon-Red-Grapefruit-Juice/God-Morgon-Red-Grapefruit-Juice_Description.txt
Tropicana-Apple-Juice,34,Juice,6.06 ,19,/iconic-images-and-descriptions/Packages/Juice/Tropicana-Apple-Juice/Tropicana-Apple-Juice_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/Tropicana-Apple-Juice/Tropicana-Apple-Juice_Description.txt
Tropicana-Golden-Grapefruit,35,Juice,1.13 ,19,/iconic-images-and-descriptions/Packages/Juice/Tropicana-Golden-Grapefruit/Tropicana-Golden-Grapefruit_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/Tropicana-Golden-Grapefruit/Tropicana-Golden-Grapefruit_Description.txt
Tropicana-Juice-Smooth,36,Juice,9.97 ,19,/iconic-images-and-descriptions/Packages/Juice/Tropicana-Juice-Smooth/Tropicana-Juice-Smooth_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/Tropicana-Juice-Smooth/Tropicana-Juice-Smooth_Description.txt
Tropicana-Mandarin-Morning,37,Juice,10.68 ,19,/iconic-images-and-descriptions/Packages/Juice/Tropicana-Mandarin-Morning/Tropicana-Mandarin-Morning_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/Tropicana-Mandarin-Morning/Tropicana-Mandarin-Morning_Description.txt
Arla-Ecological-Medium-Fat-Milk,38,Milk,1.11 ,20,/iconic-images-and-descriptions/Packages/Milk/Arla-Ecological-Medium-Fat-Milk/Arla-Ecological-Medium-Fat-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Milk/Arla-Ecological-Medium-Fat-Milk/Arla-Ecological-Medium-Fat-Milk_Description.txt
Arla-Lactose-Medium-Fat-Milk,39,Milk,1.98 ,20,/iconic-images-and-descriptions/Packages/Milk/Arla-Lactose-Medium-Fat-Milk/Arla-Lactose-Medium-Fat-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Milk/Arla-Lactose-Medium-Fat-Milk/Arla-Lactose-Medium-Fat-Milk_Description.txt
Arla-Medium-Fat-Milk,40,Milk,4.35 ,20,/iconic-images-and-descriptions/Packages/Milk/Arla-Medium-Fat-Milk/Arla-Medium-Fat-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Milk/Arla-Medium-Fat-Milk/Arla-Medium-Fat-Milk_Description.txt
Arla-Standard-Milk,41,Milk,3.72 ,20,/iconic-images-and-descriptions/Packages/Milk/Arla-Standard-Milk/Arla-Standard-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Milk/Arla-Standard-Milk/Arla-Standard-Milk_Description.txt
Garant-Ecological-Medium-Fat-Milk,42,Milk,6.48 ,20,/iconic-images-and-descriptions/Packages/Milk/Garant-Ecological-Medium-Fat-Milk/Garant-Ecological-Medium-Fat-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Milk/Garant-Ecological-Medium-Fat-Milk/Garant-Ecological-Medium-Fat-Milk_Description.txt
Garant-Ecological-Standard-Milk,43,Milk,2.45 ,20,/iconic-images-and-descriptions/Packages/Milk/Garant-Ecological-Standard-Milk/Garant-Ecological-Standard-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Milk/Garant-Ecological-Standard-Milk/Garant-Ecological-Standard-Milk_Description.txt
Oatly-Natural-Oatghurt,44,Oatghurt,3.77 ,21,/iconic-images-and-descriptions/Packages/Oatghurt/Oatly-Natural-Oatghurt/Oatly-Natural-Oatghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Oatghurt/Oatly-Natural-Oatghurt/Oatly-Natural-Oatghurt_Description.txt
Oatly-Oat-Milk,45,Oat-Milk,9.87 ,22,/iconic-images-and-descriptions/Packages/Oat-Milk/Oatly-Oat-Milk/Oatly-Oat-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Oat-Milk/Oatly-Oat-Milk/Oatly-Oat-Milk_Description.txt
Arla-Ecological-Sour-Cream,46,Sour-Cream,0.06 ,23,/iconic-images-and-descriptions/Packages/Sour-Cream/Arla-Ecological-Sour-Cream/Arla-Ecological-Sour-Cream_Iconic.jpg,/iconic-images-and-descriptions/Packages/Sour-Cream/Arla-Ecological-Sour-Cream/Arla-Ecological-Sour-Cream_Description.txt
Arla-Sour-Cream,47,Sour-Cream,5.81 ,23,/iconic-images-and-descriptions/Packages/Sour-Cream/Arla-Sour-Cream/Arla-Sour-Cream_Iconic.jpg,/iconic-images-and-descriptions/Packages/Sour-Cream/Arla-Sour-Cream/Arla-Sour-Cream_Description.txt
Arla-Sour-Milk,48,Sour-Milk,4.61 ,24,/iconic-images-and-descriptions/Packages/Sour-Milk/Arla-Sour-Milk/Arla-Sour-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Sour-Milk/Arla-Sour-Milk/Arla-Sour-Milk_Description.txt
Alpro-Blueberry-Soyghurt,49,Soyghurt,5.44 ,25,/iconic-images-and-descriptions/Packages/Soyghurt/Alpro-Blueberry-Soyghurt/Alpro-Blueberry-Soyghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Soyghurt/Alpro-Blueberry-Soyghurt/Alpro-Blueberry-Soyghurt_Description.txt
Alpro-Vanilla-Soyghurt,50,Soyghurt,5.44 ,25,/iconic-images-and-descriptions/Packages/Soyghurt/Alpro-Vanilla-Soyghurt/Alpro-Vanilla-Soyghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Soyghurt/Alpro-Vanilla-Soyghurt/Alpro-Vanilla-Soyghurt_Description.txt
Alpro-Fresh-Soy-Milk,51,Soy-Milk,10.82 ,26,/iconic-images-and-descriptions/Packages/Soy-Milk/Alpro-Fresh-Soy-Milk/Alpro-Fresh-Soy-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Soy-Milk/Alpro-Fresh-Soy-Milk/Alpro-Fresh-Soy-Milk_Description.txt
Alpro-Shelf-Soy-Milk,52,Soy-Milk,0.37 ,26,/iconic-images-and-descriptions/Packages/Soy-Milk/Alpro-Shelf-Soy-Milk/Alpro-Shelf-Soy-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Soy-Milk/Alpro-Shelf-Soy-Milk/Alpro-Shelf-Soy-Milk_Description.txt
Arla-Mild-Vanilla-Yoghurt,53,Yoghurt,8.03 ,27,/iconic-images-and-descriptions/Packages/Yoghurt/Arla-Mild-Vanilla-Yoghurt/Arla-Mild-Vanilla-Yoghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Yoghurt/Arla-Mild-Vanilla-Yoghurt/Arla-Mild-Vanilla-Yoghurt_Description.txt
Arla-Natural-Mild-Low-Fat-Yoghurt,54,Yoghurt,7.82 ,27,/iconic-images-and-descriptions/Packages/Yoghurt/Arla-Natural-Mild-Low-Fat-Yoghurt/Arla-Natural-Mild-Low-Fat-Yoghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Yoghurt/Arla-Natural-Mild-Low-Fat-Yoghurt/Arla-Natural-Mild-Low-Fat-Yoghurt_Description.txt
Arla-Natural-Yoghurt,55,Yoghurt,2.85 ,27,/iconic-images-and-descriptions/Packages/Yoghurt/Arla-Natural-Yoghurt/Arla-Natural-Yoghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Yoghurt/Arla-Natural-Yoghurt/Arla-Natural-Yoghurt_Description.txt
Valio-Vanilla-Yoghurt,56,Yoghurt,4.40 ,27,/iconic-images-and-descriptions/Packages/Yoghurt/Valio-Vanilla-Yoghurt/Valio-Vanilla-Yoghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Yoghurt/Valio-Vanilla-Yoghurt/Valio-Vanilla-Yoghurt_Description.txt
Yoggi-Strawberry-Yoghurt,57,Yoghurt,3.75 ,27,/iconic-images-and-descriptions/Packages/Yoghurt/Yoggi-Strawberry-Yoghurt/Yoggi-Strawberry-Yoghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Yoghurt/Yoggi-Strawberry-Yoghurt/Yoggi-Strawberry-Yoghurt_Description.txt
Yoggi-Vanilla-Yoghurt,58,Yoghurt,0.06 ,27,/iconic-images-and-descriptions/Packages/Yoghurt/Yoggi-Vanilla-Yoghurt/Yoggi-Vanilla-Yoghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Yoghurt/Yoggi-Vanilla-Yoghurt/Yoggi-Vanilla-Yoghurt_Description.txt
Asparagus,59,Asparagus,0.66 ,28,/iconic-images-and-descriptions/Vegetables/Asparagus/Asparagus_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Asparagus/Asparagus_Description.txt
Aubergine,60,Aubergine,6.31 ,29,/iconic-images-and-descriptions/Vegetables/Aubergine/Aubergine_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Aubergine/Aubergine_Description.txt
Cabbage,61,Cabbage,9.93 ,30,/iconic-images-and-descriptions/Vegetables/Cabbage/Cabbage_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Cabbage/Cabbage_Description.txt
Carrots,62,Carrots,0.07 ,31,/iconic-images-and-descriptions/Vegetables/Carrots/Carrots_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Carrots/Carrots_Description.txt
Cucumber,63,Cucumber,0.61 ,32,/iconic-images-and-descriptions/Vegetables/Cucumber/Cucumber_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Cucumber/Cucumber_Description.txt
Garlic,64,Garlic,8.16 ,33,/iconic-images-and-descriptions/Vegetables/Garlic/Garlic_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Garlic/Garlic_Description.txt
Ginger,65,Ginger,1.43 ,34,/iconic-images-and-descriptions/Vegetables/Ginger/Ginger_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Ginger/Ginger_Description.txt
Leek,66,Leek,8.82 ,35,/iconic-images-and-descriptions/Vegetables/Leek/Leek_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Leek/Leek_Description.txt
Brown-Cap-Mushroom,67,Mushroom,5.49 ,36,/iconic-images-and-descriptions/Vegetables/Mushroom/Brown-Cap-Mushroom/Brown-Cap-Mushroom_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Mushroom/Brown-Cap-Mushroom/Brown-Cap-Mushroom_Description.txt
Yellow-Onion,68,Onion,7.96 ,37,/iconic-images-and-descriptions/Vegetables/Onion/Yellow-Onion/Yellow-Onion_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Onion/Yellow-Onion/Yellow-Onion_Description.txt
Green-Bell-Pepper,69,Pepper,2.07 ,38,/iconic-images-and-descriptions/Vegetables/Pepper/Green-Bell-Pepper/Green-Bell-Pepper_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Pepper/Green-Bell-Pepper/Green-Bell-Pepper_Description.txt
Orange-Bell-Pepper,70,Pepper,3.64 ,38,/iconic-images-and-descriptions/Vegetables/Pepper/Orange-Bell-Pepper/Orange-Bell-Pepper_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Pepper/Orange-Bell-Pepper/Orange-Bell-Pepper_Description.txt
Red-Bell-Pepper,71,Pepper,1.29 ,38,/iconic-images-and-descriptions/Vegetables/Pepper/Red-Bell-Pepper/Red-Bell-Pepper_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Pepper/Red-Bell-Pepper/Red-Bell-Pepper_Description.txt
Yellow-Bell-Pepper,72,Pepper,5.97 ,38,/iconic-images-and-descriptions/Vegetables/Pepper/Yellow-Bell-Pepper/Yellow-Bell-Pepper_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Pepper/Yellow-Bell-Pepper/Yellow-Bell-Pepper_Description.txt
Floury-Potato,73,Potato,8.30 ,39,/iconic-images-and-descriptions/Vegetables/Potato/Floury-Potato/Floury-Potato_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Potato/Floury-Potato/Floury-Potato_Description.txt
Solid-Potato,74,Potato,9.89 ,39,/iconic-images-and-descriptions/Vegetables/Potato/Solid-Potato/Solid-Potato_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Potato/Solid-Potato/Solid-Potato_Description.txt
Sweet-Potato,75,Potato,7.37 ,39,/iconic-images-and-descriptions/Vegetables/Potato/Sweet-Potato/Sweet-Potato_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Potato/Sweet-Potato/Sweet-Potato_Description.txt
Red-Beet,76,Red-Beet,1.02 ,40,/iconic-images-and-descriptions/Vegetables/Red-Beet/Red-Beet_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Red-Beet/Red-Beet_Description.txt
Beef-Tomato,77,Tomato,2.13 ,41,/iconic-images-and-descriptions/Vegetables/Tomato/Beef-Tomato/Beef-Tomato_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Tomato/Beef-Tomato/Beef-Tomato_Description.txt
Regular-Tomato,78,Tomato,5.84 ,41,/iconic-images-and-descriptions/Vegetables/Tomato/Regular-Tomato/Regular-Tomato_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Tomato/Regular-Tomato/Regular-Tomato_Description.txt
Vine-Tomato,79,Tomato,2.25 ,41,/iconic-images-and-descriptions/Vegetables/Tomato/Vine-Tomato/Vine-Tomato_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Tomato/Vine-Tomato/Vine-Tomato_Description.txt
Zucchini,80,Zucchini,5.18 ,42,/iconic-images-and-descriptions/Vegetables/Zucchini/Zucchini_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Zucchini/Zucchini_Description.txt
